query_position,candidate_count__greedy,oracle_target_recall__greedy,reranked_canonical_smiles__greedy,reranked_exact_target_identity__greedy,reranked_morgan_similarity_to_target__greedy,reranked_target_scaffold_recovery__greedy,reranked_latent_cosine_to_supplied_condition__greedy,reranked_latent_relative_l2_to_supplied_condition__greedy,candidate_count__k50,oracle_target_recall__k50,reranked_canonical_smiles__k50,reranked_exact_target_identity__k50,reranked_morgan_similarity_to_target__k50,reranked_target_scaffold_recovery__k50,reranked_latent_cosine_to_supplied_condition__k50,reranked_latent_relative_l2_to_supplied_condition__k50,target_index,target_smiles,target_hash,case
3331,1,0.0,CCC(CC)N1CC(=O)NC(C(C)(CC)CSC)C1=O,0.0,0.4,1.0,0.9932505,0.11695545,50,1.0,CCC(C)C1NC(=O)CN(CC(CC)(CC)SC)C1=O,1.0,1.0,1.0,0.99999994,0.00034181314,27112,CCC(C)C1NC(=O)CN(CC(CC)(CC)SC)C1=O,3638da6f064456d60475dc59eaec002cc251ed0de6cb57f61e9e2eef65ff4f13,recovered_by_candidate_search
2821,1,0.0,CC(C)C1OCCC1CNC(=O)c1cnn(CC2CCCCO2)c1,0.0,0.75,0.0,0.99856347,0.054076996,39,1.0,CC(C)C1CCOC1CNC(=O)c1cnn(CC2CCCCO2)c1,1.0,1.0,1.0,0.9999998,0.0006232905,20807,CC(C)C1CCOC1CNC(=O)c1cnn(CC2CCCCO2)c1,9578a37675e1d7a08d3948eaef1b7ccbbaab3953addc388dfdf4616b687fdeb8,recovered_by_candidate_search
7510,1,0.0,CCc1nccn1C1CCCN(C(=O)c2ccc3c(c2)[nH]c(=O)n3C)C1,0.0,0.87096775,1.0,0.99985224,0.017190957,37,1.0,CCc1nccn1C1CCCN(C(=O)c2ccc3[nH]c(=O)n(C)c3c2)C1,1.0,1.0,1.0,0.9999998,0.00055933354,37636,CCc1nccn1C1CCCN(C(=O)c2ccc3[nH]c(=O)n(C)c3c2)C1,d772c6000b5762858c807c4ae703dd6305dc07b50f338e8cc5cdaa0ad7222d6f,recovered_by_candidate_search
801,0,0.0,,0.0,0.0,0.0,,,18,1.0,COc1ccc(-c2nc(-c3ccc[nH]c3=O)[nH]c2-c2oc(C)cc(=O)c2O)cc1,1.0,1.0,1.0,0.9999999,0.00048092648,30711,COc1ccc(-c2nc(-c3ccc[nH]c3=O)[nH]c2-c2oc(C)cc(=O)c2O)cc1,87dca247f363d979ee3d23ec39246a360bc552e07e7b130ccd221a89dd733f5e,recovered_by_candidate_search
3202,1,0.0,C[NH+](Cc1ccccc1OCC(=O)NCC1COCCO1)CC1CC1,0.0,0.8596491,0.0,0.99868274,0.051888913,29,1.0,C[NH+](Cc1ccccc1OCC(=O)NCC1CC1)CC1COCCO1,1.0,1.0,1.0,0.9999998,0.0005838983,34117,C[NH+](Cc1ccccc1OCC(=O)NCC1CC1)CC1COCCO1,13d4f6d563b88e8c5a90b8681f1bb759612950d4dd71cacfa6344a52764aa121,recovered_by_candidate_search
2126,1,0.0,CC(C)(C)Oc1ncccc1Nc1ccc(S(=O)(=O)C(N)=O)c(O)c1,0.0,0.6727273,1.0,0.99738777,0.07412323,50,1.0,CC(C)(C)Oc1ncccc1Nc1cc(S(=O)(=O)C(N)=O)ccc1O,1.0,1.0,1.0,0.99999976,0.00068155874,22392,CC(C)(C)Oc1ncccc1Nc1cc(S(=O)(=O)C(N)=O)ccc1O,685d5c138ecacf11aa1f228e84993d5a03748f7ae2d8aa4fc347642fcfa27b9d,recovered_by_candidate_search
6,1,0.0,Cc1ccc(Nc2cc(CO)c(Cl)cc2Cl)cn1,0.0,0.59090906,1.0,0.99772745,0.06866273,50,1.0,Cc1ccc(Nc2c(Cl)cc(CO)cc2Cl)cn1,1.0,1.0,1.0,0.9999999,0.000532688,5195,Cc1ccc(Nc2c(Cl)cc(CO)cc2Cl)cn1,5326ed104d7fe3e41c6f60196f88e519b7b067b73140de34d887f53fe5ddf314,recovered_by_candidate_search
6427,1,0.0,CCC(C)C1NC(=O)C(C(C)C)N(CC(C)COC)C1=O,0.0,0.6304348,1.0,0.99566585,0.09550335,50,1.0,CCC(C)C1NC(=O)C(C(C)CC)N(CC(C)OC)C1=O,1.0,1.0,1.0,0.99999994,0.00037795352,29570,CCC(C)C1NC(=O)C(C(C)CC)N(CC(C)OC)C1=O,26073d710e0415366a92772b9c3987f591bceae9457ed2d82fcb8261860d1603,recovered_by_candidate_search
3173,1,0.0,CSC(C)C(=O)OC1CCC2(CCC(=O)N2)C1,0.0,0.67391306,0.0,0.9928933,0.11989499,49,1.0,CSC(C)C(=O)OC1CC(=O)NC2(CCC2)C1,1.0,1.0,1.0,0.99999994,0.00041730795,14253,CSC(C)C(=O)OC1CC(=O)NC2(CCC2)C1,f0c0345ec9b8c0ddd35576e9026667f884baec68b662e35035eeee97bf915582,recovered_by_candidate_search
1440,1,0.0,Cc1n[nH]c(CN2CCC(NC(=O)c3scnc3C)CC2)n1,0.0,0.71428573,0.0,0.99709314,0.0796547,33,1.0,Cc1nnc(CN2CCC(NC(=O)c3scnc3C)CC2)[nH]1,1.0,1.0,1.0,0.9999999,0.00049050886,43362,Cc1nnc(CN2CCC(NC(=O)c3scnc3C)CC2)[nH]1,9c08d843169415a5c04d51d0cb779be64b29459b361b378d48fc4135b6b85057,recovered_by_candidate_search
5729,1,0.0,O=C(OCl)c1ccc(C(=O)OCc2ccc(CCl)cc2)cc1,0.0,0.61290324,0.0,0.95003223,0.31240112,50,1.0,O=C(OOC(=O)c1ccc(CCl)cc1)c1ccc(CCl)cc1,1.0,1.0,1.0,0.9999998,0.0006329793,18,O=C(OOC(=O)c1ccc(CCl)cc1)c1ccc(CCl)cc1,4c18cfaf616a61fe711f850bf917ed9d3bac57ba54f4dfcfc7a8add46a21252b,recovered_by_candidate_search
1338,1,0.0,Cc1cccc(=O)n1CC(=O)NCCNC(=O)C1C[NH+](C)CCO1,0.0,0.6666667,1.0,0.9933355,0.116346434,30,1.0,Cc1cccn(CC(=O)NCCNC(=O)C2C[NH+](C)CCO2)c1=O,1.0,1.0,1.0,0.99999994,0.00042048856,14032,Cc1cccn(CC(=O)NCCNC(=O)C2C[NH+](C)CCO2)c1=O,486c52b12f765af478d5425527fb46e1c48f053cac1751c670305c3e22d0a8d5,recovered_by_candidate_search
3762,1,0.0,O=C(COC(=O)COc1ccccc1)NCc1ncccn1,0.0,0.62222224,0.0,0.99856913,0.05377704,39,1.0,O=C(COc1ccccc1)NCC(=O)OCc1ncccn1,1.0,1.0,1.0,0.99999994,0.00041918692,302,O=C(COc1ccccc1)NCC(=O)OCc1ncccn1,345058cb9df1f62c5ed14843031d97f23308b11771fad2cc4249b132e894caef,recovered_by_candidate_search
6878,1,0.0,CCC1NC(=O)C(CC)N(CC(C)CS(=O)C(C)C)C1=O,0.0,0.4181818,1.0,0.9941903,0.10788578,50,1.0,CCC(C)C1NC(=O)C(CC)N(CCC(C)S(C)=O)C1=O,1.0,1.0,1.0,0.99999994,0.00031188657,15453,CCC(C)C1NC(=O)C(CC)N(CCC(C)S(C)=O)C1=O,55b19764d6021d8a82d66b5f8213be3f3e5ace7dc770f5dad4fe58c98b600996,recovered_by_candidate_search
5454,1,0.0,CCOc1ccc(CC(NC(=O)Cc2c[nH]c3ccccc23)C(=O)O)cc1,0.0,0.8490566,0.0,0.9977963,0.06647028,27,1.0,CCOc1ccc(CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1,1.0,1.0,1.0,1.0,1.2217315e-07,49945,CCOc1ccc(CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1,91272c479c0ad135ef908b54795f6ca3356e4daebf463be657dff867610b46c3,recovered_by_candidate_search
3698,1,0.0,Cc1ccc(N)c(Nc2c(C)cc(Cl)cc2F)n1,0.0,0.5652174,0.0,0.9948756,0.10260361,50,1.0,Cc1ccc(Nc2c(N)cc(Cl)cc2F)c(C)n1,1.0,1.0,1.0,1.0,0.00014540853,49827,Cc1ccc(Nc2c(N)cc(Cl)cc2F)c(C)n1,3501c2f29253ac1465dce3d0c1fb506ae8251153ff6d8397e4ae3c616fc36533,recovered_by_candidate_search
3368,1,0.0,CC1C[NH+](Cc2cc3ccccc3n(C)c2=O)CC(C)C(c2ccccc2N)O1,0.0,0.59375,0.0,0.91906935,0.44472572,33,1.0,CC1C[NH+](Cc2ccccc2NCc2cc3ccccc3n(C)c2=O)CC(C)O1,1.0,1.0,1.0,0.9999998,0.0006252877,16648,CC1C[NH+](Cc2ccccc2NCc2cc3ccccc3n(C)c2=O)CC(C)O1,9f3ac87de7a4b2bb9a277ca3a943f6f71e9d44481a0b0cb51e484ad815fe4a50,recovered_by_candidate_search
7077,1,0.0,CN(C)c1ccc(C(=O)Nc2ccccc2COc2ccncc2N)cc1,0.0,0.8490566,0.0,0.9995618,0.029705236,50,1.0,CN(C)c1ccc(C(=O)Nc2ccccc2COc2cnccc2N)cc1,1.0,1.0,1.0,0.9999998,0.0005672604,32531,CN(C)c1ccc(C(=O)Nc2ccccc2COc2cnccc2N)cc1,3664df12d24f4d7281bb29ab6869ccc932b3182d3bc210472395028625cb1934,recovered_by_candidate_search
6091,1,0.0,COc1ncc(C#N)cc1Nc1ccc(C)cc1C(F)(F)F,0.0,0.58181816,1.0,0.99692565,0.07847431,50,1.0,COc1ncc(Nc2ccc(C)cc2C#N)cc1C(F)(F)F,1.0,1.0,1.0,0.9999998,0.0005911919,47421,COc1ncc(Nc2ccc(C)cc2C#N)cc1C(F)(F)F,1ea82d1bb3d46f030c69fb5730dd1bfb779f2aba158df57c6ec65d2b8a930045,recovered_by_candidate_search
9937,1,0.0,O=C(c1ccc(-c2cnn(CC3(O)CC3)c2)cc1)N1CCC(n2ncc3c(=O)n(-c4ccc(F)cc4)cnc32)CC1,0.0,0.60714287,0.0,0.9973888,0.07661457,36,1.0,O=C(c1ccc(F)cc1)N1CCC(O)(Cn2cnc3c(cnn3-c3ccc(-c4cnn(C5CC5)c4)cc3)c2=O)CC1,1.0,1.0,1.0,0.99999994,0.00040481065,32291,O=C(c1ccc(F)cc1)N1CCC(O)(Cn2cnc3c(cnn3-c3ccc(-c4cnn(C5CC5)c4)cc3)c2=O)CC1,97fe701744efce1043f908203bd2311e868c70778ba9f622919924b34e94e259,recovered_by_candidate_search
6720,1,0.0,CC1CC1C1CC[NH+](C2CCCN(c3nc(Cc4ccccc4)no3)C2=O)CC1,0.0,0.5,0.0,0.9626373,0.27196112,50,1.0,CC1CC1c1noc(CC2CC[NH+](C3CCCN(c4ccccc4)C3=O)CC2)n1,1.0,1.0,1.0,0.99999994,0.00041325676,48401,CC1CC1c1noc(CC2CC[NH+](C3CCCN(c4ccccc4)C3=O)CC2)n1,c6f8aae5bad92b3877c0f90cff448f909f66f498e49e161ff9f73e6b414b343a,recovered_by_candidate_search
7539,1,0.0,N#CCc1c(C#N)c(NC(=O)c2ccc(C#N)[nH]2)nn1-c1ccccc1,0.0,0.68421054,0.0,0.9986724,0.054114286,34,1.0,N#CCc1nn(-c2ccccc2)c(NC(=O)c2ccc(C#N)[nH]2)c1C#N,1.0,1.0,1.0,0.9999999,0.00052152196,31026,N#CCc1nn(-c2ccccc2)c(NC(=O)c2ccc(C#N)[nH]2)c1C#N,e9ac3b2cc8ceea0035c4e18fcf4b0fd58bc87f6712d7c21853b59754c5db85ed,recovered_by_candidate_search
6695,1,0.0,O=C(NCCOCCCNC(=O)c1cnccn1)c1cn[nH]c1,0.0,1.0,0.0,0.99999934,0.0011213265,37,1.0,O=C(NCCCOCCNC(=O)c1cnccn1)c1cn[nH]c1,1.0,1.0,1.0,0.99999994,0.0003393533,46930,O=C(NCCCOCCNC(=O)c1cnccn1)c1cn[nH]c1,69fae5f01b1f5bde8d4f8a3548b3ac2d19c7cf336b7b602ceb9c1bf181d773df,recovered_by_candidate_search
3380,0,0.0,,0.0,0.0,0.0,,,42,1.0,Nc1ncc(-c2ccc(-c3noc(Cc4c[nH]c5ccccc45)n3)o2)cn1,1.0,1.0,1.0,0.99999994,0.00034716027,40352,Nc1ncc(-c2ccc(-c3noc(Cc4c[nH]c5ccccc45)n3)o2)cn1,78fd4d057cae1791611437a5502ad983a52db16b57c8edaff165e0ee0905cb44,recovered_by_candidate_search
6459,1,0.0,CCc1cccnc1C(=O)NCCC(C)NC(=O)c1cc(C)c(C)o1,0.0,0.9230769,1.0,0.9999636,0.008609075,41,1.0,CCc1cccnc1C(=O)NC(C)CCNC(=O)c1cc(C)c(C)o1,1.0,1.0,1.0,0.9999999,0.0004850815,23961,CCc1cccnc1C(=O)NC(C)CCNC(=O)c1cc(C)c(C)o1,65f76e40d347a10e6e7bde1aea47bd4651c9f727659922c9973e4b080d8dfd7a,recovered_by_candidate_search
7632,1,0.0,[NH3+]C1(CC[NH+]2CC3CCCC3C2)CCCCO1,0.0,0.30769232,1.0,0.99251294,0.122541904,50,1.0,[NH3+]C12CCCC1C[NH+](CCC1CCCCO1)C2,1.0,1.0,1.0,0.99999994,0.00036737713,11659,[NH3+]C12CCCC1C[NH+](CCC1CCCCO1)C2,662f7719eaa25f264782285a6f63e75b495c631e23c86f961e7f52d6e77ce589,recovered_by_candidate_search
3285,1,0.0,COC(=O)c1cccc(-c2c(-c3ccc(-c4ccccc4C(=O)O)cc3)nn(C(=O)O)c2C)n1,0.0,0.3243243,0.0,0.96746796,0.2615918,50,1.0,COC(=O)c1c(-c2ccc(-c3cncc(C(=O)O)c3)cc2)nn(-c2ccccc2)c1C(=O)OC,1.0,1.0,1.0,0.9999999,0.0005177972,9912,COC(=O)c1c(-c2ccc(-c3cncc(C(=O)O)c3)cc2)nn(-c2ccccc2)c1C(=O)OC,bbc6df4ca74af5da2c67e2b735c5f14b1ed41ff9f49064b64a651cbf708eb0f2,recovered_by_candidate_search
8139,1,0.0,CNc1cccc(F)c1Nc1cncc(Br)c1C,0.0,0.71428573,1.0,0.9971698,0.07530603,50,1.0,CNc1cccc(Br)c1Nc1cncc(F)c1C,1.0,1.0,1.0,0.9999998,0.00059466274,24573,CNc1cccc(Br)c1Nc1cncc(F)c1C,b2a3b0e0bb674f5270e7a594d1d63876667d0efe73b31107b0c92dfe24341093,recovered_by_candidate_search
7810,1,0.0,COC(=O)c1cc(Br)ccc1OC(C)C1CC[NH2+]CC1,0.0,0.82222223,1.0,0.9987409,0.050355498,12,1.0,COC(=O)c1ccc(Br)cc1OC(C)C1CC[NH2+]CC1,1.0,1.0,1.0,0.9999998,0.00060548435,39169,COC(=O)c1ccc(Br)cc1OC(C)C1CC[NH2+]CC1,139513a9eb777c7a478672d3e479576fa6937876bf739ab43c44faa391205e8a,recovered_by_candidate_search
2429,1,0.0,COc1cc(C=NNC(=O)c2cccnc2)ccc1OC(=O)c1ccc(Cl)cc1,0.0,0.9285714,0.0,0.99990386,0.013932353,50,1.0,COc1cc(C=NNC(=O)c2ccc(Cl)cc2)ccc1OC(=O)c1cccnc1,1.0,1.0,1.0,0.9999998,0.0005987135,42806,COc1cc(C=NNC(=O)c2ccc(Cl)cc2)ccc1OC(=O)c1cccnc1,1f4541c6c8ee9cc16843d1ad418adf6040b01b606c9567af9537518efd655b4b,recovered_by_candidate_search
5341,1,0.0,CC=CC=CC=CN(C)CCO,0.0,0.3939394,1.0,0.97255254,0.23357089,50,1.0,CC=CN(C)C=CC=CCCO,1.0,1.0,1.0,1.0,0.00022674864,38546,CC=CN(C)C=CC=CCCO,ba57dcf5375da52361618f2299597af050ce592226dc7b1a5514538b6bb77d85,recovered_by_candidate_search
5933,1,0.0,O=C(CN(CCN1CCOCC1)C(=O)C1CCC1)N1CCN(c2ccc(-c3ccccc3)nn2)CC1,0.0,0.95238096,0.0,0.9954933,0.09498819,49,1.0,O=C(CN(CCN1CCOCC1)C(=O)C1CCC1)N1CCCN(c2ccc(-c3ccccc3)nn2)CC1,1.0,1.0,1.0,0.9999999,0.0004238293,21152,O=C(CN(CCN1CCOCC1)C(=O)C1CCC1)N1CCCN(c2ccc(-c3ccccc3)nn2)CC1,37341e47025d08147d3333c52b43e747384c39bb667907fce1c417a423c24d28,recovered_by_candidate_search
5447,1,0.0,O=C(OC(=S)S)OC12CCC(CC1)C2,0.0,0.6571429,1.0,0.98990023,0.14279296,49,1.0,O=C(S)OC(=S)OC12CCC(CC1)C2,1.0,1.0,1.0,0.99999994,0.00036510208,13482,O=C(S)OC(=S)OC12CCC(CC1)C2,1b65ecd49798d8d98dc4566a7c2165910d3cd2e30a4f59ecd6f7ddf82eed81e0,recovered_by_candidate_search
2597,1,0.0,CC1CC1C(=O)NCC1CCCN(C(=O)COCC2CC2)C1,0.0,0.7058824,0.0,0.99941343,0.03474819,30,1.0,CC1CC1C(=O)N1CCCC(CNC(=O)COCC2CC2)C1,1.0,1.0,1.0,0.9999999,0.0004990808,9696,CC1CC1C(=O)N1CCCC(CNC(=O)COCC2CC2)C1,12199118a9608e606c0b1b819b8f8759cdbd771c94cfcc670369ef68135eb784,recovered_by_candidate_search
13,1,0.0,Cc1ccc(NC(=O)CN2CCC3CN(C(=O)C4CC4)C3C2)c(C)c1,0.0,0.8490566,0.0,0.998493,0.055365242,28,1.0,Cc1ccc(NC(=O)CN2CC3CCN(C(=O)C4CC4)C3C2)c(C)c1,1.0,1.0,1.0,0.9999998,0.00057047437,41967,Cc1ccc(NC(=O)CN2CC3CCN(C(=O)C4CC4)C3C2)c(C)c1,a082e529ca7aa2bc2ef5215142655ee13dbfdcc93db300ff8fcad3f3e0417d91,recovered_by_candidate_search
8646,1,0.0,C=CCN1C(=O)C(CC(=O)Nc2ccc(F)cc2)SC1=NS(=O)(=O)c1ccc(Cl)cc1,0.0,1.0,1.0,0.9999901,0.0045166975,45,1.0,C=CCN1C(=O)C(CC(=O)Nc2ccc(Cl)cc2)SC1=NS(=O)(=O)c1ccc(F)cc1,1.0,1.0,1.0,0.9999998,0.0005657589,13865,C=CCN1C(=O)C(CC(=O)Nc2ccc(Cl)cc2)SC1=NS(=O)(=O)c1ccc(F)cc1,a42878eba9c0f0f46bc1fe7b12b4fdb587e90372be1f2f3f73ef6f69e118e8f2,recovered_by_candidate_search
3351,1,0.0,CCCc1nnn(-c2ccc(N3CCN(C)CC3)cc2)c1C#N,0.0,0.6666667,1.0,0.9967384,0.080764964,23,1.0,CCCc1c(C#N)nnn1-c1ccc(N2CCN(C)CC2)cc1,1.0,1.0,1.0,0.9999999,0.0005450489,41120,CCCc1c(C#N)nnn1-c1ccc(N2CCN(C)CC2)cc1,b7ac03b19cd191a418dcc25b392ccc872640395ee79b5bee491367d89caf2bb4,recovered_by_candidate_search
4571,1,0.0,O=C(CCn1cc([N+](=O)[O-])c(Cl)n1)NCC12CC3CC(CC(C3)C1)C2,0.0,0.74545455,1.0,0.9942329,0.10725762,41,1.0,O=C(CCn1cc(Cl)c([N+](=O)[O-])n1)NCC12CC3CC(CC(C3)C1)C2,1.0,1.0,1.0,0.9999999,0.0004581711,16113,O=C(CCn1cc(Cl)c([N+](=O)[O-])n1)NCC12CC3CC(CC(C3)C1)C2,9bb48fd901116d21c72300de213c5d9e83a89787adc88e2ccd9acd07c79e5245,recovered_by_candidate_search
110,1,0.0,CC(C)(O)C#CC1(O)CC2(C)CC1CC2(C)C,0.0,0.41860464,1.0,0.99492824,0.10218973,50,1.0,CC(C)(O)C#CC1(O)CC2CCC1(C)C2(C)C,1.0,1.0,1.0,1.0,0.00024547032,44462,CC(C)(O)C#CC1(O)CC2CCC1(C)C2(C)C,8efa3e77b77dde77deedb83650203f021f50a7d52ddaa7cd00cae83ec79b7abf,recovered_by_candidate_search
2044,1,0.0,Nc1nc(C(=O)O)n2cc(-c3ccc(O)c(F)c3)cc2n1,0.0,0.537037,0.0,0.9891915,0.15292218,47,1.0,Nc1nc2cc(C(=O)O)c(-c3ccc(O)c(F)c3)cn2n1,1.0,1.0,1.0,0.9999999,0.000496302,26739,Nc1nc2cc(C(=O)O)c(-c3ccc(O)c(F)c3)cn2n1,d87c6fa2179094275dcbe19fd3b2eb9a0591f30eb4f8426e490efea2ba1db386,recovered_by_candidate_search
8625,1,0.0,CCCC(C)[NH+](C)CCNC(=O)N1CC2CC1CS2=O,0.0,0.5689655,1.0,0.9958956,0.092026904,47,1.0,CCCC[NH+](C)CC(C)NC(=O)N1CC2CC1CS2=O,1.0,1.0,1.0,0.99999994,0.0004081836,46305,CCCC[NH+](C)CC(C)NC(=O)N1CC2CC1CS2=O,2e8e3f5eaaf746afaaad6f312c2f497ca600e018086bf92cbc2e44f577d3b025,recovered_by_candidate_search
9905,0,0.0,,0.0,0.0,0.0,,,6,1.0,COc1ccc(CC(CO)CNC(=O)c2cc(=O)n(C)[n-]2)cc1Br,1.0,1.0,1.0,0.9999998,0.00060769747,4688,COc1ccc(CC(CO)CNC(=O)c2cc(=O)n(C)[n-]2)cc1Br,789b3143f5984bc4031020de169810020bea7c95d9b44b76e4302c679e0e83ce,recovered_by_candidate_search
8034,1,0.0,Nc1cc(Br)cc(F)c1Nc1cc(Cl)cnc1F,0.0,0.71428573,1.0,0.9997484,0.02244611,50,1.0,Nc1cc(Cl)cc(F)c1Nc1cc(Br)cnc1F,1.0,1.0,1.0,0.99999994,0.0004034921,22497,Nc1cc(Cl)cc(F)c1Nc1cc(Br)cnc1F,178bc1b7d57c1ccf6051ea6f148b3b637b929d1f3e3f290f2ab3255e7a5b3470,recovered_by_candidate_search
6633,1,0.0,C=C(C)C(=O)OC(C)(CC1CC2CCC1C2)OC(F)(F)F,0.0,0.60784316,1.0,0.9926902,0.12442651,50,1.0,C=C(C)C(=O)OC(C)(OCC1CC2CCC1C2)C(F)(F)F,1.0,1.0,1.0,0.99999994,0.0003030025,14040,C=C(C)C(=O)OC(C)(OCC1CC2CCC1C2)C(F)(F)F,3d486b11d4917664da2074d628c1344a8609562d74ca6cc14ee4a55294684eeb,recovered_by_candidate_search
