phase,policy,control,query_position,target_index,condition_source_index,greedy_token_decoded,greedy_rdkit_valid,greedy_policy_accepted,raw_non_greedy_draws,raw_token_decoded,raw_rdkit_valid,raw_policy_accepted,unique_policy_accepted_non_greedy,retained_unique_candidate_count
development,beam64_lp00,correct_embedding,29,335686,335686,1.0,1.0,1.0,64,64,30,30,25,26
development,beam64_lp00,correct_embedding,30,255801,255801,1.0,1.0,1.0,64,64,30,30,23,24
development,beam64_lp00,correct_embedding,31,299352,299352,1.0,1.0,1.0,64,64,27,27,23,24
development,beam64_lp00,correct_embedding,32,47869,47869,1.0,1.0,1.0,64,64,63,63,62,50
development,beam64_lp00,correct_embedding,33,745989,745989,1.0,1.0,1.0,64,64,32,32,29,30
development,beam64_lp00,correct_embedding,34,296344,296344,1.0,1.0,1.0,64,64,56,56,49,50
development,beam64_lp00,correct_embedding,35,639391,639391,1.0,1.0,1.0,64,64,47,47,34,35
development,beam64_lp00,correct_embedding,36,19486,19486,1.0,1.0,1.0,64,64,31,31,26,27
development,beam64_lp00,correct_embedding,37,591223,591223,1.0,1.0,1.0,64,64,18,18,14,15
development,beam64_lp00,correct_embedding,38,544279,544279,1.0,1.0,1.0,64,64,62,62,58,50
development,beam64_lp00,correct_embedding,39,84248,84248,1.0,1.0,1.0,64,64,54,54,34,35
development,beam64_lp00,correct_embedding,40,505835,505835,1.0,1.0,1.0,64,64,30,30,25,26
development,beam64_lp00,correct_embedding,41,276832,276832,1.0,1.0,1.0,64,64,47,47,45,46
development,beam64_lp00,correct_embedding,42,809026,809026,1.0,1.0,1.0,64,64,19,19,16,17
development,beam64_lp00,correct_embedding,43,836643,836643,1.0,1.0,1.0,64,64,31,31,22,23
development,beam64_lp00,correct_embedding,44,826301,826301,1.0,1.0,1.0,64,64,58,58,51,50
development,beam64_lp00,correct_embedding,45,326636,326636,1.0,1.0,1.0,64,64,48,48,39,40
development,beam64_lp00,correct_embedding,46,270421,270421,1.0,1.0,1.0,64,64,56,56,40,41
development,beam64_lp00,correct_embedding,47,186221,186221,1.0,1.0,1.0,64,64,31,31,29,30
development,beam64_lp00,correct_embedding,48,962870,962870,1.0,1.0,1.0,64,64,48,48,42,43
development,beam64_lp00,correct_embedding,49,762127,762127,1.0,1.0,1.0,64,64,37,37,25,26
development,beam64_lp00,correct_embedding,50,681012,681012,1.0,1.0,1.0,64,64,21,21,16,17
development,beam64_lp00,correct_embedding,51,895548,895548,1.0,1.0,1.0,64,64,59,59,52,50
development,beam64_lp00,correct_embedding,52,922899,922899,1.0,1.0,1.0,64,64,53,53,47,48
development,beam64_lp00,correct_embedding,53,643383,643383,1.0,1.0,1.0,64,64,8,8,6,7
development,beam64_lp00,correct_embedding,54,345317,345317,1.0,1.0,1.0,64,64,35,35,27,28
development,beam64_lp00,correct_embedding,55,41882,41882,1.0,1.0,1.0,64,64,26,26,22,23
development,beam64_lp00,correct_embedding,56,729084,729084,1.0,1.0,1.0,64,64,24,24,18,19
development,beam64_lp00,correct_embedding,57,488692,488692,1.0,1.0,1.0,64,64,37,37,34,35
development,beam64_lp00,correct_embedding,58,983573,983573,1.0,1.0,1.0,64,64,42,42,35,36
development,beam64_lp00,correct_embedding,59,698284,698284,1.0,1.0,1.0,64,64,26,26,18,19
development,beam64_lp00,correct_embedding,60,465872,465872,1.0,1.0,1.0,64,64,56,56,53,50
development,beam64_lp00,correct_embedding,61,270360,270360,1.0,1.0,1.0,64,64,48,48,42,43
development,beam64_lp00,correct_embedding,62,357425,357425,1.0,1.0,1.0,64,64,26,26,21,22
development,beam64_lp00,correct_embedding,63,68546,68546,1.0,1.0,1.0,64,64,61,61,51,50
development,beam64_lp00,correct_embedding,64,74614,74614,1.0,1.0,1.0,64,64,59,59,49,50
development,beam64_lp00,correct_embedding,65,879413,879413,1.0,1.0,1.0,64,64,28,28,22,23
development,beam64_lp00,correct_embedding,66,14494,14494,1.0,1.0,1.0,64,64,46,46,41,42
development,beam64_lp00,correct_embedding,67,307466,307466,1.0,1.0,1.0,64,64,42,42,37,38
development,beam64_lp00,correct_embedding,68,884434,884434,1.0,1.0,1.0,64,64,26,26,24,25
development,beam64_lp00,correct_embedding,69,876394,876394,1.0,1.0,1.0,64,64,32,32,28,29
development,beam64_lp00,correct_embedding,70,215482,215482,1.0,1.0,1.0,64,64,16,16,15,16
development,beam64_lp00,correct_embedding,71,4883,4883,1.0,1.0,1.0,64,64,35,35,29,30
development,beam64_lp00,correct_embedding,72,332787,332787,1.0,1.0,1.0,64,64,45,45,32,33
development,beam64_lp00,correct_embedding,73,439957,439957,1.0,1.0,1.0,64,64,56,56,44,45
development,beam64_lp00,correct_embedding,74,805366,805366,1.0,1.0,1.0,64,64,26,26,24,25
development,beam64_lp00,correct_embedding,75,429549,429549,1.0,1.0,1.0,64,64,54,54,50,50
development,beam64_lp00,correct_embedding,76,971335,971335,1.0,1.0,1.0,64,64,47,47,45,46
development,beam64_lp00,correct_embedding,77,660536,660536,1.0,1.0,1.0,64,64,47,47,46,47
development,beam64_lp00,correct_embedding,78,879256,879256,1.0,1.0,1.0,64,64,39,39,29,30
development,beam64_lp00,correct_embedding,79,897075,897075,1.0,1.0,1.0,64,64,26,26,18,19
development,beam64_lp00,correct_embedding,80,325183,325183,1.0,1.0,1.0,64,64,23,23,17,18
development,beam64_lp00,correct_embedding,81,559777,559777,1.0,1.0,1.0,64,64,21,21,15,16
development,beam64_lp00,correct_embedding,82,796164,796164,1.0,1.0,1.0,64,64,52,52,44,45
development,beam64_lp00,correct_embedding,83,221379,221379,1.0,1.0,1.0,64,64,54,54,48,49
development,beam64_lp00,correct_embedding,84,776910,776910,1.0,1.0,1.0,64,64,47,47,45,46
development,beam64_lp00,correct_embedding,85,640679,640679,1.0,1.0,1.0,64,64,33,33,27,28
development,beam64_lp00,correct_embedding,86,877947,877947,1.0,1.0,1.0,64,64,35,35,26,27
development,beam64_lp00,correct_embedding,87,695509,695509,1.0,1.0,1.0,64,64,29,29,19,20
development,beam64_lp00,correct_embedding,88,557981,557981,1.0,1.0,1.0,64,64,29,29,22,23
development,beam64_lp00,correct_embedding,89,529421,529421,1.0,1.0,1.0,64,64,30,30,26,27
development,beam64_lp00,correct_embedding,90,101345,101345,1.0,1.0,1.0,64,64,56,56,48,49
development,beam64_lp00,correct_embedding,91,326731,326731,1.0,1.0,1.0,64,64,41,41,36,37
development,beam64_lp00,correct_embedding,92,827230,827230,1.0,1.0,1.0,64,64,58,58,51,50
development,beam64_lp00,correct_embedding,93,750435,750435,1.0,1.0,1.0,64,64,37,37,36,37
development,beam64_lp00,correct_embedding,94,470259,470259,1.0,1.0,1.0,64,64,32,32,29,30
development,beam64_lp00,correct_embedding,95,933473,933473,1.0,1.0,1.0,64,64,25,25,22,23
development,beam64_lp00,correct_embedding,96,918323,918323,1.0,1.0,1.0,64,64,57,57,55,50
development,beam64_lp00,correct_embedding,97,604359,604359,1.0,0.0,0.0,64,64,16,16,16,16
development,beam64_lp00,correct_embedding,98,459562,459562,1.0,1.0,1.0,64,64,41,41,24,25
development,beam64_lp00,correct_embedding,99,103044,103044,1.0,1.0,1.0,64,64,35,35,31,32
development,beam64_lp00,correct_embedding,100,276802,276802,1.0,1.0,1.0,64,64,30,30,18,19
development,beam64_lp00,correct_embedding,101,469079,469079,1.0,1.0,1.0,64,64,58,58,40,41
development,beam64_lp00,correct_embedding,102,277856,277856,1.0,1.0,1.0,64,64,48,48,42,43
development,beam64_lp00,correct_embedding,103,982159,982159,1.0,0.0,0.0,64,64,26,26,25,25
development,beam64_lp00,correct_embedding,104,421020,421020,1.0,0.0,0.0,64,64,33,33,32,32
development,beam64_lp00,correct_embedding,105,381608,381608,1.0,1.0,1.0,64,64,22,22,21,22
development,beam64_lp00,correct_embedding,106,296262,296262,1.0,1.0,1.0,64,64,17,17,14,15
development,beam64_lp00,correct_embedding,107,965091,965091,1.0,1.0,1.0,64,64,39,39,32,33
development,beam64_lp00,correct_embedding,108,300826,300826,1.0,1.0,1.0,64,64,29,29,25,26
development,beam64_lp00,correct_embedding,109,320304,320304,1.0,1.0,1.0,64,64,56,56,46,47
development,beam64_lp00,correct_embedding,110,725038,725038,1.0,1.0,1.0,64,64,24,24,16,17
development,beam64_lp00,correct_embedding,111,445967,445967,1.0,1.0,1.0,64,64,18,18,14,15
development,beam64_lp00,correct_embedding,112,136284,136284,1.0,1.0,1.0,64,64,31,31,26,27
development,beam64_lp00,correct_embedding,113,711932,711932,1.0,1.0,1.0,64,64,19,19,16,17
development,beam64_lp00,correct_embedding,114,877000,877000,1.0,1.0,1.0,64,64,55,55,52,50
development,beam64_lp00,correct_embedding,115,253175,253175,1.0,1.0,1.0,64,64,23,23,20,21
development,beam64_lp00,correct_embedding,116,273850,273850,1.0,1.0,1.0,64,64,50,50,49,50
development,beam64_lp00,correct_embedding,117,845959,845959,1.0,1.0,1.0,64,64,44,44,39,40
development,beam64_lp00,correct_embedding,118,1109,1109,1.0,1.0,1.0,64,64,34,34,27,28
development,beam64_lp00,correct_embedding,119,191747,191747,1.0,1.0,1.0,64,64,62,62,59,50
development,beam64_lp00,correct_embedding,120,709077,709077,1.0,1.0,1.0,64,64,19,19,14,15
development,beam64_lp00,correct_embedding,121,685833,685833,1.0,1.0,1.0,64,64,52,52,47,48
development,beam64_lp00,correct_embedding,122,741504,741504,1.0,1.0,1.0,64,64,43,43,36,37
development,beam64_lp00,correct_embedding,123,211277,211277,1.0,1.0,1.0,64,64,54,54,46,47
development,beam64_lp00,correct_embedding,124,169568,169568,1.0,1.0,1.0,64,64,44,44,37,38
development,beam64_lp00,correct_embedding,125,86382,86382,1.0,1.0,1.0,64,64,45,45,40,41
development,beam64_lp00,correct_embedding,126,840653,840653,1.0,1.0,1.0,64,64,53,53,44,45
development,beam64_lp00,correct_embedding,127,899384,899384,1.0,1.0,1.0,64,64,47,47,42,43
development,beam64_lp00,correct_embedding,128,908405,908405,1.0,1.0,1.0,64,64,28,28,25,26
development,beam64_lp00,correct_embedding,129,376305,376305,1.0,1.0,1.0,64,64,43,43,36,37
development,beam64_lp00,correct_embedding,130,751597,751597,1.0,1.0,1.0,64,64,53,53,52,50
development,beam64_lp00,correct_embedding,131,761908,761908,1.0,1.0,1.0,64,64,19,19,15,16
development,beam64_lp00,correct_embedding,132,737863,737863,1.0,1.0,1.0,64,64,43,43,35,36
development,beam64_lp00,correct_embedding,133,176279,176279,1.0,1.0,1.0,64,64,37,37,34,35
development,beam64_lp00,correct_embedding,134,35227,35227,1.0,1.0,1.0,64,64,50,50,46,47
development,beam64_lp00,correct_embedding,135,50209,50209,1.0,1.0,1.0,64,64,58,58,55,50
development,beam64_lp00,correct_embedding,136,328103,328103,1.0,1.0,1.0,64,64,55,55,54,50
development,beam64_lp00,correct_embedding,137,201516,201516,1.0,1.0,1.0,64,64,58,58,50,50
development,beam64_lp00,correct_embedding,138,795978,795978,1.0,1.0,1.0,64,64,25,25,20,21
development,beam64_lp00,correct_embedding,139,676432,676432,1.0,1.0,1.0,64,64,53,53,46,47
development,beam64_lp00,correct_embedding,140,327951,327951,1.0,1.0,1.0,64,64,39,39,28,29
development,beam64_lp00,correct_embedding,141,539652,539652,1.0,1.0,1.0,64,64,28,28,22,23
development,beam64_lp00,correct_embedding,142,291291,291291,1.0,1.0,1.0,64,64,52,52,50,50
development,beam64_lp00,correct_embedding,143,122067,122067,1.0,1.0,1.0,64,64,57,57,56,50
development,beam64_lp00,correct_embedding,144,973649,973649,1.0,1.0,1.0,64,64,64,64,62,50
development,beam64_lp00,correct_embedding,145,850941,850941,1.0,1.0,1.0,64,64,52,52,47,48
development,beam64_lp00,correct_embedding,146,798641,798641,1.0,1.0,1.0,64,64,40,40,34,35
development,beam64_lp00,correct_embedding,147,187763,187763,1.0,1.0,1.0,64,64,57,57,46,47
development,beam64_lp00,correct_embedding,148,448084,448084,1.0,1.0,1.0,64,64,28,28,21,22
development,beam64_lp00,correct_embedding,149,671541,671541,1.0,1.0,1.0,64,64,32,32,31,32
development,beam64_lp00,correct_embedding,150,972823,972823,1.0,1.0,1.0,64,64,39,39,35,36
development,beam64_lp00,correct_embedding,151,531217,531217,1.0,1.0,1.0,64,64,48,48,45,46
development,beam64_lp00,correct_embedding,152,309799,309799,1.0,1.0,1.0,64,64,51,51,43,44
development,beam64_lp00,correct_embedding,153,436607,436607,1.0,1.0,1.0,64,64,48,48,40,41
development,beam64_lp00,correct_embedding,154,562313,562313,1.0,1.0,1.0,64,64,41,41,33,34
development,beam64_lp00,correct_embedding,155,663299,663299,1.0,1.0,1.0,64,64,24,24,23,24
development,beam64_lp00,correct_embedding,156,912481,912481,1.0,1.0,1.0,64,64,32,32,28,29
development,beam64_lp00,correct_embedding,157,528024,528024,1.0,1.0,1.0,64,64,20,20,15,16
development,beam64_lp00,correct_embedding,158,512347,512347,1.0,1.0,1.0,64,64,51,51,35,36
development,beam64_lp00,correct_embedding,159,855605,855605,1.0,1.0,1.0,64,64,55,55,45,46
development,beam64_lp00,correct_embedding,160,145327,145327,1.0,1.0,1.0,64,64,39,39,30,31
development,beam64_lp00,correct_embedding,161,112376,112376,1.0,1.0,1.0,64,64,27,27,22,23
development,beam64_lp00,correct_embedding,162,354397,354397,1.0,1.0,1.0,64,64,43,43,37,38
development,beam64_lp00,correct_embedding,163,67122,67122,1.0,1.0,1.0,64,64,50,50,48,49
development,beam64_lp00,correct_embedding,164,571547,571547,1.0,1.0,1.0,64,64,58,58,54,50
development,beam64_lp00,correct_embedding,165,715864,715864,1.0,1.0,1.0,64,64,47,47,43,44
development,beam64_lp00,correct_embedding,166,532068,532068,1.0,1.0,1.0,64,64,58,58,57,50
development,beam64_lp00,correct_embedding,167,585403,585403,1.0,1.0,1.0,64,64,44,44,43,44
development,beam64_lp00,correct_embedding,168,13876,13876,1.0,1.0,1.0,64,64,44,44,41,42
development,beam64_lp00,correct_embedding,169,761921,761921,1.0,1.0,1.0,64,64,35,35,26,27
development,beam64_lp00,correct_embedding,170,760341,760341,1.0,1.0,1.0,64,64,42,42,36,37
development,beam64_lp00,correct_embedding,171,982158,982158,1.0,1.0,1.0,64,64,26,26,17,18
development,beam64_lp00,correct_embedding,172,186332,186332,1.0,1.0,1.0,64,64,32,32,23,24
development,beam64_lp00,correct_embedding,173,884760,884760,1.0,1.0,1.0,64,64,20,20,16,17
development,beam64_lp00,correct_embedding,174,298444,298444,1.0,1.0,1.0,64,64,42,42,39,40
development,beam64_lp00,correct_embedding,175,738442,738442,1.0,1.0,1.0,64,64,31,31,27,28
development,beam64_lp00,correct_embedding,176,47891,47891,1.0,1.0,1.0,64,64,38,38,30,31
development,beam64_lp00,correct_embedding,177,296031,296031,1.0,1.0,1.0,64,64,64,64,53,50
development,beam64_lp00,correct_embedding,178,986554,986554,1.0,1.0,1.0,64,64,27,27,26,27
development,beam64_lp00,correct_embedding,179,77458,77458,1.0,1.0,1.0,64,64,17,17,15,16
development,beam64_lp00,correct_embedding,180,592515,592515,1.0,1.0,1.0,64,64,30,30,23,24
development,beam64_lp00,correct_embedding,181,995608,995608,1.0,1.0,1.0,64,64,60,60,58,50
development,beam64_lp00,correct_embedding,182,782148,782148,1.0,1.0,1.0,64,64,43,43,42,43
development,beam64_lp00,correct_embedding,183,825156,825156,1.0,1.0,1.0,64,64,22,22,17,18
development,beam64_lp00,correct_embedding,184,982503,982503,1.0,1.0,1.0,64,64,42,42,35,36
development,beam64_lp00,correct_embedding,185,43554,43554,1.0,1.0,1.0,64,64,42,42,41,42
development,beam64_lp00,correct_embedding,186,787728,787728,1.0,1.0,1.0,64,64,28,28,22,23
development,beam64_lp00,correct_embedding,187,662559,662559,1.0,1.0,1.0,64,64,58,58,47,48
development,beam64_lp00,correct_embedding,188,794875,794875,1.0,1.0,1.0,64,64,42,42,34,35
development,beam64_lp00,correct_embedding,189,184693,184693,1.0,1.0,1.0,64,64,29,29,24,25
development,beam64_lp00,correct_embedding,190,699427,699427,1.0,1.0,1.0,64,64,37,37,29,30
development,beam64_lp00,correct_embedding,191,268432,268432,1.0,1.0,1.0,64,64,30,30,18,19
development,beam64_lp00,correct_embedding,192,10530,10530,1.0,1.0,1.0,64,64,51,51,45,46
development,beam64_lp00,correct_embedding,193,174715,174715,1.0,1.0,1.0,64,64,57,57,49,50
development,beam64_lp00,correct_embedding,194,56921,56921,1.0,1.0,1.0,64,64,25,24,21,22
development,beam64_lp00,correct_embedding,195,954678,954678,1.0,1.0,1.0,64,64,52,52,46,47
development,beam64_lp00,correct_embedding,196,805886,805886,1.0,1.0,1.0,64,64,34,34,32,33
development,beam64_lp00,correct_embedding,197,337155,337155,1.0,1.0,1.0,64,64,38,38,31,32
development,beam64_lp00,correct_embedding,198,188243,188243,1.0,1.0,1.0,64,64,43,43,38,39
development,beam64_lp00,correct_embedding,199,776539,776539,1.0,1.0,1.0,64,64,28,28,25,26
development,beam64_lp00,correct_embedding,200,283118,283118,1.0,1.0,1.0,64,64,38,38,31,32
development,beam64_lp00,correct_embedding,201,806482,806482,1.0,1.0,1.0,64,64,58,58,56,50
development,beam64_lp00,correct_embedding,202,72510,72510,1.0,1.0,1.0,64,64,41,41,33,34
development,beam64_lp00,correct_embedding,203,110750,110750,1.0,1.0,1.0,64,64,50,50,46,47
development,beam64_lp00,correct_embedding,204,589529,589529,1.0,1.0,1.0,64,64,32,32,25,26
development,beam64_lp00,correct_embedding,205,999814,999814,1.0,1.0,1.0,64,64,33,33,30,31
development,beam64_lp00,correct_embedding,206,871908,871908,1.0,1.0,1.0,64,64,34,34,23,24
development,beam64_lp00,correct_embedding,207,760066,760066,1.0,1.0,1.0,64,64,34,34,28,29
development,beam64_lp00,correct_embedding,208,270486,270486,1.0,1.0,1.0,64,64,45,45,39,40
development,beam64_lp00,correct_embedding,209,311703,311703,1.0,1.0,1.0,64,64,35,35,31,32
development,beam64_lp00,correct_embedding,210,632735,632735,1.0,1.0,1.0,64,64,11,11,8,9
development,beam64_lp00,correct_embedding,211,32368,32368,1.0,1.0,1.0,64,64,49,49,45,46
development,beam64_lp00,correct_embedding,212,961657,961657,1.0,1.0,1.0,64,64,37,37,31,32
development,beam64_lp00,correct_embedding,213,745044,745044,1.0,1.0,1.0,64,64,46,46,38,39
development,beam64_lp00,correct_embedding,214,760318,760318,1.0,1.0,1.0,64,64,41,41,38,39
development,beam64_lp00,correct_embedding,215,130194,130194,1.0,1.0,1.0,64,64,63,63,57,50
development,beam64_lp00,correct_embedding,216,782771,782771,1.0,0.0,0.0,64,64,27,27,26,26
development,beam64_lp00,correct_embedding,217,155822,155822,1.0,1.0,1.0,64,64,57,57,52,50
development,beam64_lp00,correct_embedding,218,173104,173104,1.0,1.0,1.0,64,64,29,29,20,21
development,beam64_lp00,correct_embedding,219,533067,533067,1.0,1.0,1.0,64,64,21,21,15,16
development,beam64_lp00,correct_embedding,220,10882,10882,1.0,1.0,1.0,64,64,39,39,33,34
development,beam64_lp00,correct_embedding,221,908223,908223,1.0,1.0,1.0,64,64,62,62,59,50
development,beam64_lp00,correct_embedding,222,713460,713460,1.0,1.0,1.0,64,64,37,37,31,32
development,beam64_lp00,correct_embedding,223,926514,926514,1.0,1.0,1.0,64,64,23,23,16,17
development,beam64_lp00,correct_embedding,224,698127,698127,1.0,1.0,1.0,64,64,45,45,41,42
development,beam64_lp00,correct_embedding,225,313566,313566,1.0,1.0,1.0,64,64,17,17,16,17
development,beam64_lp00,correct_embedding,226,843480,843480,1.0,1.0,1.0,64,64,40,40,38,39
development,beam64_lp00,correct_embedding,227,163640,163640,1.0,1.0,1.0,64,64,38,38,35,36
development,beam64_lp00,correct_embedding,228,880601,880601,1.0,1.0,1.0,64,64,43,43,34,35
development,beam64_lp00,correct_embedding,229,152842,152842,1.0,1.0,1.0,64,64,45,45,35,36
development,beam64_lp00,correct_embedding,230,428765,428765,1.0,1.0,1.0,64,64,50,50,48,49
development,beam64_lp00,correct_embedding,231,397171,397171,1.0,1.0,1.0,64,64,31,31,29,30
development,beam64_lp00,correct_embedding,232,96480,96480,1.0,1.0,1.0,64,64,25,25,23,24
development,beam64_lp00,correct_embedding,233,304863,304863,1.0,1.0,1.0,64,64,47,47,45,46
development,beam64_lp00,correct_embedding,234,706817,706817,1.0,1.0,1.0,64,64,49,49,34,35
development,beam64_lp00,correct_embedding,235,8907,8907,1.0,1.0,1.0,64,64,62,62,61,50
development,beam64_lp00,correct_embedding,236,301725,301725,1.0,1.0,1.0,64,64,14,14,10,11
development,beam64_lp00,correct_embedding,237,58273,58273,1.0,1.0,1.0,64,64,39,39,31,32
development,beam64_lp00,correct_embedding,238,615810,615810,1.0,1.0,1.0,64,64,38,38,34,35
development,beam64_lp00,correct_embedding,239,425593,425593,1.0,1.0,1.0,64,64,46,46,37,38
development,beam64_lp00,correct_embedding,240,953974,953974,1.0,1.0,1.0,64,64,38,38,33,34
development,beam64_lp00,correct_embedding,241,131787,131787,1.0,1.0,1.0,64,64,62,62,61,50
development,beam64_lp00,correct_embedding,242,477593,477593,1.0,1.0,1.0,64,64,50,50,39,40
development,beam64_lp00,correct_embedding,243,474261,474261,1.0,1.0,1.0,64,64,50,50,44,45
development,beam64_lp00,correct_embedding,244,364400,364400,1.0,1.0,1.0,64,64,37,37,35,36
development,beam64_lp00,correct_embedding,245,105023,105023,1.0,1.0,1.0,64,64,46,46,40,41
development,beam64_lp00,correct_embedding,246,286265,286265,1.0,1.0,1.0,64,64,19,19,17,18
development,beam64_lp00,correct_embedding,247,319307,319307,1.0,1.0,1.0,64,64,30,30,24,25
development,beam64_lp00,correct_embedding,248,179513,179513,1.0,1.0,1.0,64,64,49,49,44,45
development,beam64_lp00,correct_embedding,249,834989,834989,1.0,1.0,1.0,64,64,28,28,23,24
development,beam64_lp00,correct_embedding,250,607783,607783,1.0,1.0,1.0,64,64,51,51,41,42
development,beam64_lp00,correct_embedding,251,583955,583955,1.0,1.0,1.0,64,64,46,46,40,41
development,beam64_lp00,correct_embedding,252,257920,257920,1.0,1.0,1.0,64,64,48,48,31,32
development,beam64_lp00,correct_embedding,253,289917,289917,1.0,1.0,1.0,64,64,64,64,63,50
development,beam64_lp00,correct_embedding,254,509474,509474,1.0,1.0,1.0,64,64,26,26,21,22
development,beam64_lp00,correct_embedding,255,794248,794248,1.0,1.0,1.0,64,64,22,22,16,17
development,beam64_lp00,correct_embedding,256,779073,779073,1.0,1.0,1.0,64,64,31,31,26,27
development,beam64_lp00,correct_embedding,257,574133,574133,1.0,1.0,1.0,64,64,47,47,39,40
development,beam64_lp00,correct_embedding,258,618594,618594,1.0,1.0,1.0,64,64,51,51,32,33
development,beam64_lp00,correct_embedding,259,759356,759356,1.0,1.0,1.0,64,64,47,47,35,36
development,beam64_lp00,correct_embedding,260,520109,520109,1.0,1.0,1.0,64,64,30,30,23,24
development,beam64_lp00,correct_embedding,261,497581,497581,1.0,1.0,1.0,64,64,45,45,33,34
development,beam64_lp00,correct_embedding,262,933050,933050,1.0,1.0,1.0,64,64,29,29,23,24
development,beam64_lp00,correct_embedding,263,816198,816198,1.0,1.0,1.0,64,64,35,35,32,33
development,beam64_lp00,correct_embedding,264,493832,493832,1.0,1.0,1.0,64,64,24,24,17,18
development,beam64_lp00,correct_embedding,265,560808,560808,1.0,1.0,1.0,64,64,52,52,47,48
development,beam64_lp00,correct_embedding,266,703355,703355,1.0,1.0,1.0,64,64,29,29,27,28
development,beam64_lp00,correct_embedding,267,101048,101048,1.0,1.0,1.0,64,64,62,62,60,50
development,beam64_lp00,correct_embedding,268,224866,224866,1.0,1.0,1.0,64,64,38,38,27,28
development,beam64_lp00,correct_embedding,269,673191,673191,1.0,1.0,1.0,64,64,45,45,43,44
development,beam64_lp00,correct_embedding,270,872370,872370,1.0,1.0,1.0,64,64,58,58,53,50
development,beam64_lp00,correct_embedding,271,602932,602932,1.0,1.0,1.0,64,64,29,29,25,26
development,beam64_lp00,correct_embedding,272,230960,230960,1.0,1.0,1.0,64,64,35,35,23,24
development,beam64_lp00,correct_embedding,273,956742,956742,1.0,1.0,1.0,64,64,33,33,27,28
development,beam64_lp00,correct_embedding,274,367792,367792,1.0,1.0,1.0,64,64,63,63,61,50
development,beam64_lp00,correct_embedding,275,6845,6845,1.0,1.0,1.0,64,64,28,28,21,22
development,beam64_lp00,correct_embedding,276,586278,586278,1.0,1.0,1.0,64,64,43,43,37,38
development,beam64_lp00,correct_embedding,277,317327,317327,1.0,1.0,1.0,64,64,55,55,51,50
development,beam64_lp00,correct_embedding,278,202147,202147,1.0,1.0,1.0,64,64,59,59,50,50
development,beam64_lp00,correct_embedding,279,271091,271091,1.0,1.0,1.0,64,64,38,38,34,35
